date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:29:41	14444/14444	---M-Z	200	added ('OK')	application/javascript	etag:%22386c-578634322565c-gzip%22	https://inoscuisine.com/wp-content/plugins/wp-e-commerce/wpsc-core/js/thickbox.js?ver=3.13.1.361d748	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/plugins/wp-e-commerce/wpsc-core/js/thickboxa74d.js	(from https://inoscuisine.com/products-page/cookie/)
12:29:42	2275/2275	---M-Z	200	added ('OK')	application/javascript	etag:%228e3-578634321f89c-gzip%22	https://inoscuisine.com/wp-content/plugins/wp-e-commerce/wpsc-components/fancy-notifications/js/fancy-notifications.js?ver=1.0	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/plugins/wp-e-commerce/wpsc-components/fancy-notifications/js/fancy-notifications5152.js	(from https://inoscuisine.com/products-page/cookie/)
12:29:43	830/830	---M-Z	200	added ('OK')	text/xml	date:Wed,%2025%20Mar%202020%2005:29:45%20GMT	https://inoscuisine.com/xmlrpc.php?rsd	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/xmlrpc0db0.php	(from https://inoscuisine.com/products-page/cookie/)
12:29:43	79216/79216	---MCZ	200	added ('OK')	application/json	date:Wed,%2025%20Mar%202020%2005:29:45%20GMT	https://inoscuisine.com/wp-json/	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-json/index.html	(from https://inoscuisine.com/products-page/cookie/)
12:29:44	73/73	---MCZ	404	error ('Not%20Found')	application/json	date:Wed,%2025%20Mar%202020%2005:29:46%20GMT	https://inoscuisine.com/wp-json/oembed/1.0/embed?url	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-json/oembed/1.0/embed572d	(from https://inoscuisine.com/products-page/cookie/)
12:29:44	38987/38987	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Mar%202020%2005:29:46%20GMT	https://inoscuisine.com/products-page/	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/products-page/index.html	(from https://inoscuisine.com/products-page/cookie/)
12:29:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2025%20Mar%202020%2005:29:46%20GMT	https://inoscuisine.com/?p=4	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/index5c7e.html	(from https://inoscuisine.com/products-page/cookie/)
12:29:45	132/132	---MCZ	404	error ('Not%20Found')	text/xml	date:Wed,%2025%20Mar%202020%2005:29:47%20GMT	https://inoscuisine.com/wp-json/oembed/1.0/embed?url&format=xml	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-json/oembed/1.0/embed0d9a	(from https://inoscuisine.com/products-page/cookie/)
12:29:47	23621/23621	---M-Z	200	added ('OK')	application/xml	date:Wed,%2025%20Mar%202020%2005:29:49%20GMT	https://inoscuisine.com/?wpsc_action=rss	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/index2435.html	(from https://inoscuisine.com/products-page/cookie/)
12:29:49	38724/38724	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Mar%202020%2005:29:49%20GMT	https://inoscuisine.com/products-page/cuisine/	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/products-page/cuisine/index.html	(from https://inoscuisine.com/products-page/cookie/)
12:29:49	38748/38748	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Mar%202020%2005:29:49%20GMT	https://inoscuisine.com/products-page/anniversary/	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/products-page/anniversary/index.html	(from https://inoscuisine.com/products-page/cookie/)
12:29:50	38724/38724	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Mar%202020%2005:29:50%20GMT	https://inoscuisine.com/products-page/dessert/	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/products-page/dessert/index.html	(from https://inoscuisine.com/products-page/cookie/)
12:29:51	272534/272534	---M--	200	added ('OK')	image/jpeg	etag:%2242896-5157af9852800%22	https://inoscuisine.com/wp-content/uploads/2014/05/tumblr_mkdei6E3Xx1s773u2o2_1280.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2014/05/tumblr_mkdei6E3Xx1s773u2o2_1280.jpg	(from https://inoscuisine.com/products-page/cookie/)
12:29:51	95621/95621	---M--	200	added ('OK')	image/jpeg	etag:%2217585-52bcf7550af80%22	https://inoscuisine.com/wp-content/uploads/2016/01/DSCF7200.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2016/01/DSCF7200.jpg	(from https://inoscuisine.com/products-page/cookie/)
12:29:52	284099/284099	---M--	200	added ('OK')	image/jpeg	etag:%22455c3-5292914becd80%22	https://inoscuisine.com/wp-content/uploads/2016/01/inos109.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2016/01/inos109.jpg	(from https://inoscuisine.com/products-page/cookie/)
12:29:52	293098/293098	---M--	200	added ('OK')	image/jpeg	etag:%22478ea-5292914634000%22	https://inoscuisine.com/wp-content/uploads/2016/01/inos107.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2016/01/inos107.jpg	(from https://inoscuisine.com/products-page/cookie/)
12:29:52	173881/173881	---M--	200	added ('OK')	image/jpeg	etag:%222a739-5292913ac2500%22	https://inoscuisine.com/wp-content/uploads/2016/01/inos103.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2016/01/inos103.jpg	(from https://inoscuisine.com/products-page/cookie/)
12:29:52	245604/245604	---M--	200	added ('OK')	image/jpeg	etag:%223bf64-5292902819d00%22	https://inoscuisine.com/wp-content/uploads/2016/01/inos41.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2016/01/inos41.jpg	(from https://inoscuisine.com/products-page/cookie/)
12:29:52	225264/225264	---M--	200	added ('OK')	image/jpeg	etag:%2236ff0-52928ec73dc80%22	https://inoscuisine.com/wp-content/uploads/2016/01/inos70.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2016/01/inos70.jpg	(from https://inoscuisine.com/products-page/cookie/)
12:29:53	343642/343642	---M--	200	added ('OK')	image/jpeg	etag:%2253e5a-52928b1ebbb00%22	https://inoscuisine.com/wp-content/uploads/2016/01/inos1.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2016/01/inos1.jpg	(from https://inoscuisine.com/products-page/cookie/)
12:29:53	298705/298705	---M--	200	added ('OK')	image/jpeg	etag:%2248ed1-51d05c6266400%22	https://inoscuisine.com/wp-content/uploads/2015/08/DSCF6394.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2015/08/DSCF6394.jpg	(from https://inoscuisine.com/products-page/cookie/)
12:29:53	1660484/1660484	---M--	200	added ('OK')	image/jpeg	etag:%22195644-517d678c26800%22	https://inoscuisine.com/wp-content/uploads/2015/06/menucitruzprint-02.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2015/06/menucitruzprint-02.jpg	(from https://inoscuisine.com/products-page/cookie/)
12:29:53	232741/232741	---M--	200	added ('OK')	image/jpeg	etag:%2238d25-5157af9852800%22	https://inoscuisine.com/wp-content/uploads/2015/05/tumblr_mjc6afxKWE1s773u2o1_r1_1280.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2015/05/tumblr_mjc6afxKWE1s773u2o1_r1_1280.jpg	(from https://inoscuisine.com/products-page/cookie/)
12:29:53	276832/276832	---M--	200	added ('OK')	image/jpeg	etag:%2243960-5157af9852800%22	https://inoscuisine.com/wp-content/uploads/2015/05/tumblr_mjc5c2RbpR1s773u2o1_r1_12802.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2015/05/tumblr_mjc5c2RbpR1s773u2o1_r1_12802.jpg	(from https://inoscuisine.com/products-page/cookie/)
12:29:54	340015/340015	---M--	200	added ('OK')	image/jpeg	etag:%225302f-5157af9852800%22	https://inoscuisine.com/wp-content/uploads/2015/05/tumblr_mjc8gxPaaw1s773u2o2_r3_1280-1.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2015/05/tumblr_mjc8gxPaaw1s773u2o2_r3_1280-1.jpg	(from https://inoscuisine.com/products-page/cookie/)
12:29:54	325682/325682	---M--	200	added ('OK')	image/jpeg	etag:%224f832-5157af9852800%22	https://inoscuisine.com/wp-content/uploads/2015/05/tumblr_mjc8gxPaaw1s773u2o4_r1_1280-1.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2015/05/tumblr_mjc8gxPaaw1s773u2o4_r1_1280-1.jpg	(from https://inoscuisine.com/products-page/cookie/)
12:29:54	516759/516759	---M--	200	added ('OK')	image/jpeg	etag:%227e297-5157af9852800%22	https://inoscuisine.com/wp-content/uploads/2015/05/tumblr_mjc8gxPaaw1s773u2o1_r2_1280-1.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2015/05/tumblr_mjc8gxPaaw1s773u2o1_r2_1280-1.jpg	(from https://inoscuisine.com/products-page/cookie/)
12:29:54	235462/235462	---M--	200	added ('OK')	image/jpeg	etag:%22397c6-5157af9852800%22	https://inoscuisine.com/wp-content/uploads/2015/05/tumblr_mjc8uaAeM51s773u2o1_r1_1280.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2015/05/tumblr_mjc8uaAeM51s773u2o1_r1_1280.jpg	(from https://inoscuisine.com/products-page/cookie/)
12:29:55	323376/323376	---M--	200	added ('OK')	image/jpeg	etag:%224ef30-5157af9852800%22	https://inoscuisine.com/wp-content/uploads/2015/05/tumblr_mjc8yyImVH1s773u2o1_r1_12801.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2015/05/tumblr_mjc8yyImVH1s773u2o1_r1_12801.jpg	(from https://inoscuisine.com/products-page/cookie/)
12:29:55	199367/199367	---M--	200	added ('OK')	image/jpeg	etag:%2230ac7-5157af9852800%22	https://inoscuisine.com/wp-content/uploads/2015/05/tumblr_mjlg2rpptF1s773u2o1_r1_1280.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2015/05/tumblr_mjlg2rpptF1s773u2o1_r1_1280.jpg	(from https://inoscuisine.com/products-page/cookie/)
12:29:55	91678/91678	---M--	200	added ('OK')	image/jpeg	etag:%221661e-517358a076800%22	https://inoscuisine.com/wp-content/uploads/2015/05/tumblr_mix781WmnM1s773u2o1_1280-e1432888682421.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2015/05/tumblr_mix781WmnM1s773u2o1_1280-e1432888682421.jpg	(from https://inoscuisine.com/products-page/cookie/)
12:29:55	199866/199866	---M--	200	added ('OK')	image/jpeg	etag:%2230cba-5157af9852800%22	https://inoscuisine.com/wp-content/uploads/2015/05/tumblr_mixa6zdcU51s773u2o1_r1_1280.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2015/05/tumblr_mixa6zdcU51s773u2o1_r1_1280.jpg	(from https://inoscuisine.com/products-page/cookie/)
12:29:55	79665/79665	---M--	200	added ('OK')	image/jpeg	etag:%2213731-517358a076800%22	https://inoscuisine.com/wp-content/uploads/2015/05/tumblr_mix7f0zKbr1s773u2o1_1280-1-e1432888323734.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2015/05/tumblr_mix7f0zKbr1s773u2o1_1280-1-e1432888323734.jpg	(from https://inoscuisine.com/products-page/cookie/)
12:29:56	114346/114346	---M--	200	added ('OK')	image/jpeg	etag:%221beaa-517358a076800%22	https://inoscuisine.com/wp-content/uploads/2015/05/tumblr_mix8fhL61v1s773u2o1_1280-e1432888825640.jpg	F:/dony/httrack/inos.old/inos.old4/inoscuisine.com/wp-content/uploads/2015/05/tumblr_mix8fhL61v1s773u2o1_1280-e1432888825640.jpg	(from https://inoscuisine.com/products-page/cookie/)
